scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
all,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),2,36,265,1,0.6366364302730438,0.45363752977826644
all,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),3,36,291,1,0.7240176151761517,0.6252032520325204
all,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),4,36,300,1,0.6669372294372294,0.5857683982683983
all,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),5,36,328,1,0.707711038961039,0.49837662337662336
all,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),6,36,329,1,0.8294633642930856,0.35758513931888547
all,Nielsen,per-maze,"State bigrams, K=6",Random forest,pooled,36,1746,6,0.7267855988622486,0.49845753452594094
all,Nielsen,per-maze,"State bigrams, K=6",Random forest,1,36,233,1,0.7215255303847536,0.4551420352391226
all,Nielsen,per-maze,"State bigrams, K=6",Random forest,2,36,265,1,0.7048859263331501,0.461654755360088
all,Nielsen,per-maze,"State bigrams, K=6",Random forest,3,36,291,1,0.7287262872628726,0.6070460704607046
all,Nielsen,per-maze,"State bigrams, K=6",Random forest,4,36,300,1,0.675189393939394,0.574134199134199
all,Nielsen,per-maze,"State bigrams, K=6",Random forest,5,36,328,1,0.7249188311688312,0.45551948051948055
all,Nielsen,per-maze,"State bigrams, K=6",Random forest,6,36,329,1,0.795343137254902,0.43653250773993807
all,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),pooled,144,1746,6,0.8411812642425026,0.5036774857612739
all,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),1,144,233,1,0.8384124415677814,0.4235886371808702
all,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),2,144,265,1,0.7963853765805388,0.5153014476818765
all,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),3,144,291,1,0.8341124661246613,0.6262872628726287
all,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),4,144,300,1,0.7452651515151516,0.5443722943722944
all,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),5,144,328,1,0.8388798701298701,0.4538961038961039
all,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),6,144,329,1,0.9752321981424148,0.4551083591331269
all,Nielsen,per-maze,"State bigrams, K=12",Random forest,pooled,144,1746,6,0.8058253413650378,0.5274753400558757
all,Nielsen,per-maze,"State bigrams, K=12",Random forest,1,144,233,1,0.8036452714850773,0.5058432218626393
all,Nielsen,per-maze,"State bigrams, K=12",Random forest,2,144,265,1,0.7711998350742166,0.5008704416345978
all,Nielsen,per-maze,"State bigrams, K=12",Random forest,3,144,291,1,0.8208333333333333,0.612330623306233
all,Nielsen,per-maze,"State bigrams, K=12",Random forest,4,144,300,1,0.7381628787878788,0.5662878787878788
all,Nielsen,per-maze,"State bigrams, K=12",Random forest,5,144,328,1,0.807224025974026,0.5012987012987014
all,Nielsen,per-maze,"State bigrams, K=12",Random forest,6,144,329,1,0.8822884416924665,0.47987616099071206
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,1746,6,0.7147338289951224,0.5008511116566327
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),1,25,233,1,0.7626078748651564,0.5201366414958648
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),2,25,265,1,0.6809144218435037,0.5512186182884369
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),3,25,291,1,0.6388888888888888,0.5044715447154471
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),4,25,300,1,0.6557765151515151,0.5338203463203464
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),5,25,328,1,0.6777597402597403,0.4623376623376623
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),6,25,329,1,0.8657765737874097,0.45175438596491224
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,1746,6,0.8866472600892107,0.514854977963877
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,1,25,233,1,0.8660778496943545,0.4988313556274721
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,2,25,265,1,0.8736370716510904,0.5428348909657321
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,3,25,291,1,0.897730352303523,0.5478319783197831
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,4,25,300,1,0.832521645021645,0.588474025974026
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,5,25,328,1,0.9346590909090908,0.4902597402597403
all,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,6,25,329,1,0.9033797729618163,0.43188854489164086
all,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,1746,6,0.8238786855050555,0.536133580973027
all,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),1,100,233,1,0.8415138439410283,0.5034160373966199
all,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),2,100,265,1,0.8149166208539491,0.5297324537291552
