scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
allplus,Faure,across-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,2448,1,0.5871175269414984,0.5786862812179268
allplus,Faure,across-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,2448,1,0.9692992537632571,0.5420854002736915
allplus,Faure,across-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,2448,1,0.5451724469722887,0.5407917807047554
allplus,Faure,across-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,2448,1,0.5505647558159426,0.5206284211426617
allplus,Faure,across-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,2448,1,0.552721679353404,0.5392896852548752
allplus,Faure,across-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,2448,1,0.5960312072357168,0.5256906431748204
allplus,Faure,across-maze,"State bigrams, K=6",Logistic (L2),pooled,36,2448,1,0.5581139881970578,0.5290369483407458
allplus,Faure,across-maze,"State bigrams, K=6",Random forest,pooled,36,2448,1,0.5868903416866234,0.5145719295244612
allplus,Faure,across-maze,"State bigrams, K=12",Logistic (L2),pooled,144,2448,1,0.6049154870851865,0.550606183715361
allplus,Faure,across-maze,"State bigrams, K=12",Random forest,pooled,144,2448,1,0.7144628806021212,0.5414760092370852
allplus,Faure,across-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,2448,1,0.5728850389154978,0.5479334160109477
allplus,Faure,across-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,2448,1,0.9189670287375984,0.5700372049264455
allplus,Faure,across-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,2448,1,0.6290666160622648,0.5887198511802942
allplus,Faure,across-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,2448,1,0.9332048622990079,0.5895537547040712
allplus,Faure,across-maze,Maze identity (reference),Logistic (L2),pooled,6,2448,1,0.7103521638727335,0.7103521638727335
allplus,Faure,across-maze,Maze identity (reference),Random forest,pooled,6,2448,1,0.7103521638727335,0.7103521638727335
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,2635,6,0.576626781144481,0.5395511663213032
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,361,1,0.5931823760432008,0.5795287187039764
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,404,1,0.5591978979829446,0.4727335661915101
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),3,6,443,1,0.5971955172224359,0.5242679778058562
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,425,1,0.5961388234761344,0.572660990852278
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),5,6,502,1,0.5432445607553367,0.5381773399014778
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,500,1,0.577462792345854,0.5514528703047484
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,2635,6,0.9243826314590444,0.5250288424586274
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,1,6,361,1,0.9186671575846834,0.49013254786450666
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,2,6,404,1,0.9291434595172914,0.5233015513389345
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,3,6,443,1,0.9170054386639566,0.5403092896775257
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,4,6,425,1,0.9102068426772938,0.5420931075083779
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,5,6,502,1,0.9314578201970443,0.533122947454844
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,6,6,500,1,0.936144578313253,0.5154500354358611
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,2635,6,0.58760033502666,0.5171091371811174
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),1,12,361,1,0.6161266568483064,0.5600883652430044
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),2,12,404,1,0.5865311998489569,0.45084804430598824
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),3,12,443,1,0.6092162006262704,0.5457067516343459
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,425,1,0.6078168870573317,0.5674078434924372
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),5,12,502,1,0.5548414408866995,0.5323019293924467
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),6,12,500,1,0.5644223954642098,0.4562721474131821
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,2635,6,0.9400183766872038,0.5034288313617271
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,1,12,361,1,0.9540439371624938,0.5144575355915562
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,404,1,0.9191958526070676,0.4825513704018377
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,3,12,443,1,0.9351858210185134,0.5291572817667417
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,4,12,425,1,0.9202970745403496,0.5110836880717327
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,5,12,502,1,0.9522911535303776,0.4743175287356322
allplus,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,6,12,500,1,0.9554394046775336,0.5122608079376328
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,2635,6,0.5576801038758308,0.49553900541227214
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),1,6,361,1,0.5583946980854197,0.5255522827687775
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,404,1,0.5473779854620977,0.47012177853299353
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),3,6,443,1,0.5558664780530682,0.42536944459704445
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),4,6,425,1,0.5879137985689702,0.5743705280318812
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),5,6,502,1,0.5445402298850575,0.4727268062397373
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),6,6,500,1,0.5545889440113394,0.5124734231041814
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,2635,6,0.6046582118754843,0.5151189762388906
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,1,6,361,1,0.6061426116838489,0.5099165439371625
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,2,6,404,1,0.6059937380030838,0.45180779760219014
allplus,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,3,6,443,1,0.6209862385321101,0.5334422897324618
