scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,1,36,676,1,0.6367429333908932,0.5206626571038921,0.0057639969098808065,0.019196013826561477
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,2,36,683,1,0.6536509300890416,0.5341884862911046,0.011204014458731818,0.025756712559019384
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,3,36,736,1,0.6385094860513085,0.5064037708916653,0.005055087374873709,0.04041635859031413
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,4,36,813,1,0.6648298592782378,0.5265961555793025,0.009054739886545246,0.02952582168616322
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,5,36,930,1,0.65493429058165,0.5002582683109749,0.011856632700147878,0.0576878830867456
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,6,36,900,1,0.6493813390908935,0.5240076512934466,0.00442851268440402,0.036424606482652756
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),pooled,144,4738,6,0.6517715159572666,0.5096536250026469,0.015412835354914292,0.04021202187194686
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),1,144,676,1,0.6592255918683712,0.5131128400851623,0.00859431131297357,0.04671777673700072
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),2,144,683,1,0.6361720885127391,0.4985365423609274,0.007727053064321311,0.023353867968258297
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),3,144,736,1,0.6547238104201469,0.5029528716971365,0.01624417010168875,0.030424329578340823
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),4,144,813,1,0.6585710883083777,0.5406683318098131,0.018055225499991594,0.05971325539004827
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),5,144,930,1,0.6419401661857247,0.5021903139449988,0.007812823772559142,0.01565561227039067
allplus,Faure,per-maze,"State bigrams, K=12",Logistic (L2),6,144,900,1,0.6596133691462738,0.5006671973701542,0.017292260481628716,0.0515138064223598
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,pooled,144,4738,6,0.7686114691853073,0.522270594739537,0.014783889297215568,0.03876721310652445
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,1,144,676,1,0.7525668887297274,0.5223649225395641,0.005231268000160794,0.03384883003110593
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,2,144,683,1,0.7501675041876047,0.5270210702635987,0.00809989978799429,0.05629425271816303
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,3,144,736,1,0.7688730853391685,0.5015921194011121,0.00848802101065635,0.025836345719199964
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,4,144,813,1,0.7726717500740302,0.5528736594095609,0.010490271818248149,0.03367537705210477
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,5,144,930,1,0.7869211933982646,0.5359017785746569,0.009864200657173295,0.012772549498848923
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,6,144,900,1,0.7718578726426171,0.49377473355057816,0.005288919890680576,0.04039998331243074
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,4738,6,0.5827608319386346,0.537807939768132,0.013806609732251278,0.047021973894779176
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),1,25,676,1,0.5728294889279162,0.5242241692257881,0.007166628991070489,0.01894061941731556
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),2,25,683,1,0.5711507096887949,0.5020673543154368,0.015038511891672626,0.03103373916746872
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),3,25,736,1,0.5801745841274323,0.5137447746327537,0.011981330763858355,0.03615763748925843
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),4,25,813,1,0.5821984717590865,0.535434718234605,0.008336566916500131,0.077345494222086
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),5,25,930,1,0.5843531620484651,0.5721512260294723,0.00804429057060466,0.03236175222810788
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),6,25,900,1,0.6000087336994806,0.5614680632949813,0.012544338075073238,0.04111396504284055
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,4738,6,0.9566672364512369,0.5259743555473324,0.010233687660132143,0.038496199304042404
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,1,25,676,1,0.9514314727784701,0.5053815134954819,0.009661062221409814,0.03287422774251116
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,2,25,683,1,0.9663360662963942,0.5221281847835669,0.008910113940425764,0.05591413876240826
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,3,25,736,1,0.9634459581343184,0.5224543736225814,0.006181418404539243,0.04335087381410217
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,4,25,813,1,0.9564018423864763,0.5238312883830516,0.002733505154038371,0.04494648993357547
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,5,25,930,1,0.961732831365693,0.5291917691875971,0.004142679506489576,0.026662997095521564
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,6,25,900,1,0.9427241124556872,0.545850490518925,0.006392386385777186,0.029234061463904754
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,4738,6,0.6566124772624835,0.5345084328916769,0.016582900493959475,0.045282326517235266
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),1,100,676,1,0.6545541732484327,0.5198188828821757,0.013559321481989786,0.03353530547659206
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),2,100,683,1,0.6379055364542008,0.49455170589791064,0.00964222403514814,0.035241530462862054
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),3,100,736,1,0.6527856207304925,0.5534144294644048,0.010424836099846858,0.06123759821675442
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),4,100,813,1,0.6616047173333677,0.5355634664160369,0.009933904389522949,0.03839296689235023
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),5,100,930,1,0.6492306584351921,0.53468990419239,0.01593816039086115,0.02901917763127913
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),6,100,900,1,0.6786027226234315,0.5592631621146433,0.009744451904810702,0.054292044435523004
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,4738,6,0.9732122846954853,0.5316950347358138,0.007600146980671055,0.03791122238637827
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,1,100,676,1,0.9682603534040404,0.5330985155460495,0.006613956202387614,0.054899508641269704
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,2,100,683,1,0.981811469628846,0.5281495195274619,0.003737956155963603,0.02683101826791836
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,3,100,736,1,0.9751652902284652,0.4988549289036336,0.0017850888514185062,0.027678297025187468
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,4,100,813,1,0.9656017046259222,0.5633762923098711,0.007678415238560354,0.04256992982581211
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,5,100,930,1,0.9781496317193219,0.5305352610744956,0.005631484388576848,0.02227417185315305
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,6,100,900,1,0.970581750290646,0.5327671223462439,0.005289603389318894,0.031690234137778994
allplus,Faure,across-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,4738,1,0.5591105757071333,0.5552431687137394,0.009434010848334656,0.024991850522903508
allplus,Faure,across-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,4738,1,0.9451060434118708,0.5255642937281949,0.003383839094263916,0.01692918698539259
allplus,Faure,across-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,4738,1,0.560125368717064,0.5482782300579991,0.004041907008652566,0.022493606355060577
allplus,Faure,across-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,4738,1,0.9748826888556155,0.530830493015132,0.0025046747987654758,0.01663941078088669
allplus,Faure,across-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,4738,1,0.5277177461603646,0.5180666222558808,0.004444724068311801,0.013595334222898565
allplus,Faure,across-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,4738,1,0.5333707375342219,0.5129456487409506,0.0043901940229736595,0.014984511591311827
allplus,Faure,across-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,4738,1,0.5422135571341423,0.5334456293477244,0.0028784735259009967,0.020263706477085502
allplus,Faure,across-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,4738,1,0.5787467087371578,0.5193766034042351,0.002603652112481215,0.014546590758227472
allplus,Faure,across-maze,"State bigrams, K=6",Logistic (L2),pooled,36,4738,1,0.5414274835439092,0.5187234895938808,0.005783029313213419,0.01568988420212307
allplus,Faure,across-maze,"State bigrams, K=6",Random forest,pooled,36,4738,1,0.571171531387445,0.5025634806426111,0.004085835859876177,0.008711459056749526
allplus,Faure,across-maze,"State bigrams, K=12",Logistic (L2),pooled,144,4738,1,0.5678554684518682,0.5212554227303268,0.0067063703825470215,0.016373499355903428
