scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Faure,across-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,660,1,0.5880444500321291,0.517922498812617,0.008523864744170214,0.049928527648017584
publication,Faure,across-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,660,1,0.5990556812784623,0.5675551085407761,0.013145568788843995,0.0502109626505342
publication,Faure,across-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,660,1,0.6715139831810689,0.5827955186768363,0.014949696537263584,0.05294761194075657
publication,Faure,across-maze,"State bigrams, K=6",Logistic (L2),pooled,36,660,1,0.6138385997262035,0.5802810605425641,0.014698090361663467,0.03357045018723687
publication,Faure,across-maze,"State bigrams, K=6",Random forest,pooled,36,660,1,0.6711053837342498,0.5845416701589696,0.009945169765911374,0.04381065023810132
publication,Faure,across-maze,"State bigrams, K=12",Logistic (L2),pooled,144,660,1,0.6835763976196463,0.5712290112591848,0.013734051587686494,0.03307679776093121
publication,Faure,across-maze,"State bigrams, K=12",Random forest,pooled,144,660,1,0.7655896404324868,0.5798899226105663,0.010461516717918246,0.03844373548211991
publication,Faure,across-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,660,1,0.6162657502863689,0.567722739083061,0.01153893119786963,0.03768185472871896
publication,Faure,across-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,660,1,0.9144525465873214,0.5721928868773224,0.009721426267251648,0.04710494129590416
publication,Faure,across-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,660,1,0.6890104210320454,0.5781996479758612,0.010560216508494685,0.03405093207125104
publication,Faure,across-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,660,1,0.9456981812086163,0.5990277428547481,0.0073010601813863225,0.030429292050395483
publication,Faure,across-maze,Maze identity (reference),Logistic (L2),pooled,6,660,1,0.8878132595758949,0.8878132595758949,0.005365740895192085,0.021438182790768128
publication,Faure,across-maze,Maze identity (reference),Random forest,pooled,6,660,1,0.8878132595758949,0.8878132595758949,0.005365740895192085,0.021438182790768128
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,608,4,0.6377969555726519,0.5469838150458574,0.043882281266493815,0.1104204726151005
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,127,1,0.6871177370030581,0.5807849133537207,0.02088738339452518,0.08203595271298683
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,155,1,0.6022659511031605,0.4443947525342874,0.05514893878984172,0.09816739584422927
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),3,6,159,1,0.6325989208633094,0.5557553956834532,0.0211579507699845,0.114025844193713
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,167,1,0.6382164404223227,0.6081447963800906,0.02405159150437852,0.09129881401129508
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,608,4,0.9385987056175342,0.5213117344011114,0.04494672519044821,0.08082735446069687
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,1,6,127,1,0.9712665647298675,0.45871559633027525,0.01863451828030905,0.01876075305558411
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,2,6,155,1,0.9431648777579009,0.47271914132379245,0.013347566998524279,0.0636340313105213
