scope,monkey,space,feature_set,model,maze_a,maze_b,d,n_trials,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,1,6,130,nan,0.5169230769230768,nan,nan
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),2,2,6,159,nan,0.45126582278481003,nan,nan
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),3,3,6,167,nan,0.5013769363166952,nan,nan
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),4,4,6,176,nan,0.5113636363636364,nan,nan
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),5,5,6,213,nan,0.5380356198201376,nan,nan
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),6,6,6,209,nan,0.5109981684981685,nan,nan
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,2,6,289,0.5726717464925012,0.5686502177068214,0.015473220957874704,0.024911218810552187
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,3,6,297,0.5308037770612621,0.45278673422385995,0.016250451712852172,0.051468787476982296
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,4,6,306,0.5772399475524476,0.547770979020979,0.013647618493234443,0.049986308450552915
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,5,6,343,0.5735238353196099,0.5436800288912965,0.01362366103392926,0.03152470315039968
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),1,6,6,339,0.5570114096429886,0.5191571586308428,0.017558404715416667,0.05179623955832144
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),2,3,6,326,0.596505103001544,0.5903664369374458,0.01244722411410447,0.04849695931839019
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),2,4,6,335,0.5683381575185821,0.5249964265294453,0.016982535083623563,0.041353678182972156
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),2,5,6,372,0.6496921782265923,0.6353972893967579,0.01802088954244365,0.06276049574791935
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,6,368,0.5918946164725708,0.5623815112395053,0.024319792491932075,0.06641820313368754
publication,Faure,deg,"Codebook occupancy (binary), K=6",Logistic (L2),3,4,6,343,0.5826755579749592,0.5520209580838323,0.02074865073605898,0.08457751803935351
